"id,case_id,old_channel_id,drive_folder_id,error_message,failed_at"
"90,7,810ab6d3-f160-45e0-ab57-4689b5a9c043,1KxDr1c1WHVkB0e5R7nR9irpmHHltEyzL,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:11:34.120485+00"
"91,7,798ae61b-50aa-4f17-a1f4-21dbcccc9f29,1KZ8bLj2HexXAlnhxFQJ-EXRsgu86tl2Y,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:11:35.018178+00"
"92,7,ec885a3e-a0d7-4e5c-b60e-b04c4d65508a,1GkRcGo6xm50ydMdecsNU168CGJXa-UBe,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:11:35.110279+00"
"93,7,88842d5e-e3c0-45cb-a929-62bb02ea591b,1GgCikz-cPalMeQjQIzqcP9p-XJZi_a_S,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:11:35.919259+00"
"94,7,afa81bce-bb4c-4f1b-8225-c0fb6ddea4c2,1s0oyme60P4L7_-mD6Y5GxSGp6VOHXh3e,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:11:36.919561+00"
"95,7,4cb927e5-73d9-4fde-9b8c-fafa70484e9e,1pTPvxVk1JeHFLf4pNf2hjnAT0j3rfkfD,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:11:37.607306+00"
"98,7,893c5b46-9563-45c4-ba51-b6dce94b900a,1j3xM4qwHDE6WcD7kZQgzFacPpbhXDno6,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:11:41.409017+00"
"99,7,ac68bec1-5e62-4340-9b7f-70eb8d215c00,1DausJusoKfdvbBzMx7Oq54IFVhfGPFjQ,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:11:43.109537+00"
"100,7,6f873217-1298-4bd0-8fc9-9c10b42d806f,1iwGKZqVVch2YXCgAqJAk-L5DhdtxvWkJ,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:11:44.908569+00"
"101,7,faa5c9c8-c134-474e-a49b-d336f09ee324,1EbhgPStE5tQWcLRjfNltchifhjnOu4wH,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:11:47.009464+00"
"102,7,905fa804-a8c9-4d5f-8e97-b671c78fb8fc,17yqpEivczrHp1F6Lf1d-hOVp6dNeOrh6,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:11:49.008204+00"
"103,7,b537d635-000b-4171-84a9-2985030c8726,1y7i-eUd5V6-GfoFUgBQ1hFLad-dLCjNk,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:11:53.009198+00"
"104,7,f146a660-fa89-4489-943a-3872937ccc2e,10JAhALEU6dfWQGe3oLzSzqukJXGbLHfr,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:11:54.809408+00"
"105,7,fc2cc342-fcb3-424a-a24c-b9b65741ea84,1OvL5aj2paUVXrgNdCqCMMBfU9ntuysFJ,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:11:56.609103+00"
"106,7,467dd331-e31a-401c-b001-46a02c74dca9,11Qi2KvaA-_k6Wtjn5d-IqV1tF8jXHlsX,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:11:58.708577+00"
"107,7,628b5b9b-44aa-4277-9bb7-fa9efa0f037c,1XNguAefGZBoaDxcZ_TPEQsy8atUChI6k,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:12:01.109806+00"
"108,7,5e01a19d-64dd-4af3-a3ee-c9fd6f1430e9,1P-POHHdwHA3I2wAVuc23bmtVBasusUKV,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:12:02.608617+00"
"109,7,185ebca4-f67f-4891-b92d-fb9696c4feb5,1M91uhorl90l9tq7PMnp_bDRnFE-vr2pe,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:12:04.109106+00"
"110,7,45216829-d324-4fd1-a5c4-06acfda0f1f5,1fqEZ6DkDif-gkc7wBFuOSzU1YVX_Hh_A,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:12:05.709711+00"
"111,7,3a0e1f3d-9d64-41b1-83a2-f46f475cdacb,1DNZG1cG2Q0c3HXnUhaJ29auXSf_3Og5O,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:12:07.608814+00"
"112,7,1c48deea-52c9-4d2d-ae61-65b61846a3b6,16APJipBmvfrvf2wod_FpygSrfxr_v6VK,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:12:09.009406+00"
"113,7,b87b4986-1a5c-4b94-ac3a-de1969d2ef07,1qCMXax3nph2z2mA8UK2qGTd6p8JY5NA1,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:12:10.209121+00"
"114,7,c2b3f3d6-044b-49c3-829d-e8906d069794,1GNaxQRPYA0Pbvy7C1qlPF5yh-PYYPt02,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:12:12.409367+00"
"115,7,b2821450-be26-41c5-a5f4-4a1cd5858036,1x2ASN6tntyHeogPCi6OpGqrWgqIDXkTd,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:12:13.812595+00"
